user_activity,environmental_brightness,theme,layout,font_size,likert_sum,binarized_output
STILL,240,dark-theme,largeCards,large-font,-6,0
STILL,240,dark-theme,xLargeCards,small-font,-6,0
STILL,92,light-theme,largeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,5,0
STILL,20,dark-theme,xLargeCards,large-font,5,0
STILL,19,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,75,dark-theme,largeCards,large-font,3,0
STILL,75,dark-theme,largeCards,large-font,5,0
STILL,2,light-theme,xLargeCards,large-font,6,1
ON_FOOT,1,light-theme,xLargeCards,large-font,3,0
STILL,184,light-theme,xLargeCards,large-font,5,0
STILL,154,light-theme,xLargeCards,large-font,5,0
STILL,179,dark-theme,xLargeCards,small-font,3,0
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
ON_FOOT,623,light-theme,xLargeCards,small-font,-3,0
ON_FOOT,378,dark-theme,largeCards,large-font,6,1
IN_VEHICLE,258,dark-theme,xLargeCards,large-font,-2,0
ON_FOOT,139,dark-theme,largeCards,small-font,1,0
ON_FOOT,305,dark-theme,xLargeCards,small-font,-3,0
STILL,33,light-theme,xLargeCards,small-font,-3,0
ON_FOOT,0,dark-theme,largeCards,large-font,3,0
ON_FOOT,6,dark-theme,xLargeCards,large-font,-1,0
ON_FOOT,0,light-theme,largeCards,large-font,3,0
IN_VEHICLE,0,light-theme,xLargeCards,large-font,-1,0
IN_VEHICLE,0,dark-theme,xLargeCards,large-font,0,0
STILL,0,light-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
ON_FOOT,9365,light-theme,xLargeCards,small-font,6,1
ON_FOOT,5189,light-theme,xLargeCards,small-font,6,1
STILL,6390,light-theme,xLargeCards,large-font,6,1
ON_FOOT,11763,light-theme,xLargeCards,large-font,6,1
ON_FOOT,6274,light-theme,xLargeCards,large-font,6,1
ON_FOOT,9403,light-theme,xLargeCards,large-font,6,1
ON_FOOT,12858,light-theme,xLargeCards,small-font,6,1
STILL,81,light-theme,largeCards,large-font,6,1
STILL,85,light-theme,largeCards,large-font,6,1
STILL,80,light-theme,xLargeCards,small-font,6,1
STILL,11,light-theme,xLargeCards,small-font,3,0
STILL,7,dark-theme,largeCards,small-font,1,0
STILL,7,dark-theme,largeCards,small-font,0,0
STILL,8,dark-theme,largeCards,small-font,0,0
STILL,8,dark-theme,xLargeCards,large-font,1,0
STILL,8,dark-theme,xLargeCards,small-font,2,0
STILL,0,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,xLargeCards,large-font,6,1
STILL,0,light-theme,largeCards,small-font,4,0
STILL,0,dark-theme,largeCards,small-font,4,0
STILL,0,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,xLargeCards,small-font,6,1
STILL,0,dark-theme,largeCards,large-font,4,0
STILL,0,dark-theme,xLargeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,3,0
STILL,0,dark-theme,largeCards,large-font,5,0
STILL,0,dark-theme,largeCards,small-font,3,0
STILL,0,dark-theme,xLargeCards,small-font,-3,0
STILL,6,dark-theme,largeCards,large-font,1,0
STILL,0,dark-theme,xLargeCards,small-font,3,0
STILL,0,dark-theme,xLargeCards,small-font,4,0
IN_VEHICLE,0,light-theme,largeCards,large-font,6,1
STILL,147,light-theme,xLargeCards,large-font,4,0
STILL,438,light-theme,largeCards,small-font,6,1
STILL,389,light-theme,largeCards,small-font,6,1
STILL,1,dark-theme,largeCards,large-font,0,0
STILL,0,dark-theme,largeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,16,dark-theme,xLargeCards,large-font,6,1
STILL,1,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,2,dark-theme,xLargeCards,large-font,6,1
ON_FOOT,8,dark-theme,xLargeCards,large-font,6,1
STILL,69,dark-theme,largeCards,large-font,3,0
ON_FOOT,79,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,16,light-theme,largeCards,small-font,1,0
STILL,0,light-theme,largeCards,large-font,6,1
STILL,0,light-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
STILL,102,dark-theme,largeCards,small-font,6,1
STILL,86,dark-theme,largeCards,small-font,6,1
STILL,86,dark-theme,largeCards,large-font,5,0
STILL,75,light-theme,xLargeCards,large-font,6,1
STILL,77,light-theme,xLargeCards,large-font,6,1
STILL,59,light-theme,largeCards,large-font,6,1
STILL,108,light-theme,largeCards,large-font,6,1
STILL,50,dark-theme,xLargeCards,large-font,4,0
STILL,49,dark-theme,xLargeCards,large-font,3,0
STILL,68,dark-theme,xLargeCards,large-font,2,0
IN_VEHICLE,58,light-theme,xLargeCards,large-font,5,0
IN_VEHICLE,95,light-theme,xLargeCards,large-font,5,0
IN_VEHICLE,72,dark-theme,xLargeCards,large-font,3,0
IN_VEHICLE,61,dark-theme,xLargeCards,large-font,4,0
STILL,62,light-theme,xLargeCards,large-font,5,0
IN_VEHICLE,62,light-theme,xLargeCards,large-font,5,0
IN_VEHICLE,117,light-theme,xLargeCards,large-font,6,1
ON_FOOT,218,light-theme,xLargeCards,small-font,5,0
STILL,184,light-theme,xLargeCards,small-font,4,0
IN_VEHICLE,888,light-theme,largeCards,small-font,6,1
STILL,620,light-theme,largeCards,small-font,6,1
ON_FOOT,681,light-theme,largeCards,large-font,6,1
STILL,257,light-theme,largeCards,large-font,6,1
ON_FOOT,2659,light-theme,largeCards,large-font,6,1
STILL,229,light-theme,largeCards,small-font,6,1
ON_FOOT,348,light-theme,largeCards,small-font,5,0
STILL,790,light-theme,largeCards,small-font,3,0
ON_FOOT,2443,light-theme,largeCards,small-font,3,0
STILL,13,light-theme,xLargeCards,large-font,2,0
STILL,13,light-theme,xLargeCards,large-font,0,0
STILL,13,light-theme,largeCards,large-font,3,0
STILL,10,light-theme,largeCards,large-font,1,0
STILL,871,light-theme,largeCards,large-font,6,1
STILL,923,light-theme,largeCards,large-font,6,1
STILL,789,light-theme,xLargeCards,large-font,3,0
STILL,865,light-theme,xLargeCards,large-font,6,1
IN_VEHICLE,13,light-theme,largeCards,large-font,6,1
IN_VEHICLE,19,light-theme,largeCards,large-font,6,1
STILL,0,dark-theme,largeCards,large-font,3,0
STILL,0,dark-theme,largeCards,large-font,4,0
STILL,0,dark-theme,largeCards,large-font,4,0
ON_FOOT,0,dark-theme,largeCards,large-font,6,1
ON_FOOT,0,dark-theme,xLargeCards,small-font,6,1
STILL,13,dark-theme,largeCards,large-font,4,0
STILL,13,dark-theme,largeCards,large-font,5,0
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,small-font,6,1
STILL,0,dark-theme,largeCards,large-font,6,1
ON_FOOT,136,dark-theme,xLargeCards,small-font,6,1
ON_FOOT,107,light-theme,largeCards,small-font,6,1
