user_id,user_activity,environmental_brightness,theme,layout,fontSize,feedback
user0,STILL,0,dark-theme,largeCards,small-font,Y
user0,STILL,0,dark-theme,largeCards,small-font,Y
user0,STILL,0,dark-theme,largeCards,small-font,?
user0,STILL,0,dark-theme,largeCards,small-font,?
user0,STILL,0,dark-theme,largeCards,small-font,?
user0,STILL,1,dark-theme,xLargeCards,large-font,?
user0,STILL,1,dark-theme,xLargeCards,large-font,N
user0,STILL,950,dark-theme,largeCards,large-font,?
user0,ON_FOOT,89,dark-theme,largeCards,small-font,?
user0,STILL,241,light-theme,largeCards,small-font,?
user0,ON_FOOT,615,light-theme,largeCards,large-font,?
user0,STILL,267,light-theme,largeCards,small-font,Y
user0,STILL,98,dark-theme,largeCards,small-font,Y
user0,STILL,95,dark-theme,largeCards,small-font,N
user0,STILL,85,light-theme,largeCards,large-font,Y
user0,STILL,0,dark-theme,largeCards,small-font,Y
user0,ON_FOOT,13,dark-theme,largeCards,small-font,Y
user0,STILL,6,light-theme,largeCards,large-font,Y
user0,STILL,0,dark-theme,largeCards,small-font,Y
user0,STILL,16,light-theme,largeCards,large-font,?
user0,STILL,6,light-theme,xLargeCards,large-font,N
user0,STILL,3,light-theme,largeCards,large-font,Y
user0,STILL,2,light-theme,largeCards,large-font,Y
user0,STILL,3,light-theme,xLargeCards,large-font,Y
user0,STILL,8,light-theme,largeCards,large-font,Y
user0,STILL,8,light-theme,largeCards,large-font,Y
user0,STILL,25,dark-theme,largeCards,large-font,N
user0,STILL,800,light-theme,largeCards,large-font,Y
user0,STILL,153,light-theme,xLargeCards,small-font,N
user0,STILL,52,dark-theme,largeCards,large-font,N
user0,STILL,81,light-theme,largeCards,small-font,Y
user0,STILL,59,light-theme,largeCards,small-font,Y
user0,STILL,111,light-theme,xLargeCards,large-font,Y
user0,STILL,0,dark-theme,largeCards,small-font,Y
user0,STILL,4,dark-theme,largeCards,large-font,N
user0,STILL,5,dark-theme,largeCards,large-font,N
user0,STILL,5,dark-theme,largeCards,small-font,N
