user_activity,environmental_brightness,theme,layout,font_size,preference,informativness,readability,likert_sum,binarized_output
STILL,163,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,160,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,115,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,53,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,178,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,149,withImages,light-theme,largeCards,large-font,1,2,1,4,0
STILL,195,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
STILL,194,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
STILL,174,withImages,dark-theme,xLargeCards,large-font,0,0,0,0,0
STILL,174,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
STILL,186,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
ON_FOOT,23,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,148,withImages,light-theme,largeCards,small-font,2,1,2,5,0
STILL,85,withImages,light-theme,largeCards,small-font,1,1,2,4,0
STILL,87,withImages,light-theme,largeCards,small-font,2,1,2,5,0
STILL,234,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
STILL,229,withImages,light-theme,largeCards,small-font,0,1,0,1,0
STILL,25,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,157,withImages,light-theme,largeCards,small-font,1,2,1,4,0
STILL,155,withImages,light-theme,largeCards,small-font,0,0,2,2,0
STILL,102,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,102,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,15,withImages,light-theme,largeCards,large-font,1,2,1,4,0
STILL,16,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
STILL,15,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
STILL,15,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
STILL,13,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,13,withImages,dark-theme,largeCards,large-font,0,0,0,0,0
STILL,15,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,44,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,16,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
STILL,84,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,2,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,2,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,21,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,20,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
STILL,0,withImages,light-theme,largeCards,large-font,0,1,1,2,0
STILL,0,withImages,light-theme,largeCards,large-font,0,1,0,1,0
STILL,66,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,52,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,80,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
STILL,125,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,67,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
STILL,14,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
STILL,0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,39,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,46,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,8,withImages,light-theme,largeCards,large-font,1,2,2,5,0
STILL,9,withImages,light-theme,largeCards,large-font,1,2,1,4,0
STILL,10,withImages,dark-theme,largeCards,large-font,1,0,0,1,0
STILL,16,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,16,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,318,withImages,light-theme,xLargeCards,small-font,-2,-2,-2,-6,0
ON_FOOT,782,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
ON_FOOT,192,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,875,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
IN_VEHICLE,921,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
IN_VEHICLE,935,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
ON_FOOT,198,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,285,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,53,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,59,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
ON_FOOT,1054,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
ON_FOOT,1346,withImages,dark-theme,xLargeCards,small-font,-1,-1,-1,-3,0
IN_VEHICLE,417,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
IN_VEHICLE,72,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
STILL,8,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,7,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,34,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,37,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,37,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,39,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,10,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,10,withImages,light-theme,largeCards,small-font,1,1,2,4,0
ON_FOOT,3563,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,5849,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,4435,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,3037,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,10,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,6,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,12,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,6,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,24,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,4,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,15,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,111,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,103,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,296,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
STILL,132,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
STILL,132,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
STILL,139,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
STILL,139,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,19,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,22,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,303,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,276,withImages,light-theme,largeCards,small-font,1,1,2,4,0
STILL,351,withImages,light-theme,largeCards,large-font,2,1,1,4,0
STILL,336,withImages,light-theme,largeCards,large-font,1,2,2,5,0
STILL,7904,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,6487,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,9753,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,8249,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,5588,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,9637,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,6813,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
ON_FOOT,18,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,18,withImages,light-theme,largeCards,large-font,2,1,2,5,0
ON_FOOT,47,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,74,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,91,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,78,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,74,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,17,withImages,dark-theme,xLargeCards,small-font,1,0,0,1,0
STILL,13,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
